date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:24	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2001%20May%202025%2002:29:23%20GMT	https://codeefly.net/robots.txt		(from )
22:29:25	100143/100143	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2002:29:24%20GMT	https://codeefly.net/wp/zyan/	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/index.html	(from )
22:29:25	116363/116363	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Apr%202025%2008:10:51%20GMT	https://codeefly.net/wp/zyan/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-includes/css/dist/block-library/style.min0899.css	(from https://codeefly.net/wp/zyan/)
22:29:25	2859/2859	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Oct%202023%2012:49:42%20GMT	https://codeefly.net/wp/zyan/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.2	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-content/plugins/contact-form-7/includes/css/styles080f.css	(from https://codeefly.net/wp/zyan/)
22:29:25	8944/8944	---MCZ	200	added ('OK')	application/rss+xml	etag:%222e65957c6b6530155e3fb5bc01ad5935%22	https://codeefly.net/wp/zyan/feed/	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/feed/index.html	(from https://codeefly.net/wp/zyan/)
22:29:26	550288/550288	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Oct%202023%2006:35:22%20GMT	https://codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/font-awesome-pro.css?ver=1.0.0	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/font-awesome-pro8a54.css	(from https://codeefly.net/wp/zyan/)
22:29:26	52036/52036	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Oct%202023%2009:08:40%20GMT	https://codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/iconsax-icon.min.css?ver=1.0.0	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/iconsax-icon.min8a54.css	(from https://codeefly.net/wp/zyan/)
22:29:26	220779/220779	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202023%2007:48:10%20GMT	https://codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/bootstrap.min.css?ver=1.0.0	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/bootstrap.min8a54.css	(from https://codeefly.net/wp/zyan/)
22:29:26	1239/1239	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2014:39:58%20GMT	https://codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/scroll_button.css?ver=1.0.0	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/wp-content/themes/zyan/assets/css/scroll_button8a54.css	(from https://codeefly.net/wp/zyan/)
22:29:26	2698/2698	---M-Z	200	added ('OK')	application/rss+xml	etag:%222e65957c6b6530155e3fb5bc01ad5935%22	https://codeefly.net/wp/zyan/comments/feed/	C:/My%20Web%20Sites/websitelol/codeefly.net/wp/zyan/comments/feed/index.html	(from https://codeefly.net/wp/zyan/)
